claim_id,domain,authority,register,id_scheme,identifier,identifier_kind,named_entity,completeness,subcode,pairing_basis,claim_basis,same_page_id_candidates,n_pages,n_sentences,page_types,page_type_example,self_ref_basis,example_sentence,example_url
atcbrokers-NOAUTH-1448274,atcbrokers.com,,,FRN,1448274,licence-number,,identifier-no-authority,,,identifier-token-only,,14,14,editorial:13; product-or-account:1,editorial,"identifier token, not a predication",FRN 1448274,https://atcbrokers.com/cn/help-center/education/
atcbrokers-NOAUTH-591361,atcbrokers.com,,,FRN,591361,licence-number,,identifier-no-authority,,,identifier-token-only,,14,14,editorial:13; product-or-account:1,editorial,"identifier token, not a predication",FRN 591361,https://atcbrokers.com/cn/help-center/education/
blackbull-NOAUTH-FSP1002113,blackbull.com,,,FSP,1002113,licence-number,,identifier-no-authority,,,identifier-token-only,,2,2,other:2,other,"identifier token, not a predication",注册 FSP1002113,https://blackbull.com/zh-hans/support/how-to-download-metatrader-5-mt5-on-mobile/
darwinex-FCA-nonumber,darwinex.com,FCA,UK FCA Financial Services Register,,,,,identifier-unpaired-same-page,,,self-referential-predication,FRN:586466,1,3,product-or-account:1,product-or-account,SR-2 brand self-reference (darwinex),JTL 是 Darwinex 管理的账户，Darwinex 是一家受 FCA 和 CNMV 监管的西班牙资本和管理金融科技公司，作为经纪商和资产管理人,https://www.darwinex.com/zh/invest/JTL
darwinex-FCA-586466,darwinex.com,FCA,UK FCA Financial Services Register,FRN,586466,licence-number,,authority+identifier,,same-sentence,identifier-token-only,,1,1,product-or-account:1,product-or-account,"identifier token, not a predication",FCA) 监管和授权，注册号为 FRN 586466,https://www.darwinex.com/zh/invest/JTL
dbinvesting-NOAUTH-20200000,dbinvesting.com,,,CN-LIC,20200000,licence-number,,identifier-no-authority,,,identifier-token-only,,40,40,editorial:39; product-or-account:1,product-or-account,"identifier token, not a predication",许可证号 20200000,https://dbinvesting.com/zh-hans/accounts-types/
dbinvesting-NOAUTH-M22286159,dbinvesting.com,,,CN-REG,M22286159,company-registry-number,,identifier-no-authority,candidate-B-mis-anchor,,identifier-token-only,,40,40,editorial:39; product-or-account:1,product-or-account,"identifier token, not a predication",注册号 M22286159,https://dbinvesting.com/zh-hans/accounts-types/
dbinvesting-FSCMU-GB25204845,dbinvesting.com,FSC-MU,Mauritius FSC Online Public Register,GB,25204845,licence-number,,authority+identifier,,same-sentence,self-referential-predication,,40,80,editorial:39; product-or-account:1,product-or-account,SR-4 subject-elided operator footer (regulatory predicate + own licence identifier),受毛里求斯金融服务委员会 (FSC) 监管，作为一名投资交易商，牌照编号为：GB25204845,https://dbinvesting.com/zh-hans/accounts-types/
fpmarkets-ASIC-nonumber,fpmarkets.com,ASIC,ASIC Professional Registers,,,,,anchor-no-number,anchor-no-number,,self-referential-predication,,1,1,other:1,other,SR-2 brand self-reference (fp markets),FP Markets 是一个受多重监管的品牌，获得澳大利亚证券和投资委员会 (ASIC)、塞浦路斯证券交易委员会 (CySec)、南非金融部门行为监管局 (F,https://zhcn.fpmarkets.com/int/
fpmarkets-FSASC-SD130,fpmarkets.com,FSA-SC,Seychelles FSA capital-markets register,SD,130,licence-number,First Prudential Markets Limited,authority+identifier,,same-sentence,self-referential-predication,,6,6,other:4; legal-or-corporate:1; editorial:1,other,SR-1 named legal entity in subject slot (First Prudential Markets Limited),First Prudential Markets Limited，一家受塞舌尔金融服务管理局监管的投资交易商公司，许可证号为 SD130,https://zhcn.fpmarkets.com/int/
