register,jurisdiction,regulator,category,register_anchor_id,entity_name,website,has_licence_number,source_file,source_sha256
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-exchange,securities-exchange-134,MERJ Exchange Limited,http://www.merj.exchange,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-exchange,securities-exchange-135,SECDEX Exchange Limited,http://www.secdex.net,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-facility,securities-facility-136,MERJ Depository and Registry Limited,http://www.merj.exchange,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-facility,securities-facility-137,SECDEX Depository Limited,http://www.secdex.net,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,clearing-agency,clearing-agency-138,MERJ Clearing and Settlement Limited,http://www.merj.exchange,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,clearing-agency,clearing-agency-139,SECDEX Clearing Limited,http://www.secdex.net,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-1176,WizBrokers Limited,,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-876,4XC (Seychelles) Ltd,https://www.4xc.com/,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-545,Admirals SC Ltd,https://www.admiralmarkets.com/sc,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-848,Alchemy International Ltd,https://www.alchemymarkets.com,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
