domain,n_zho_captures_capped,n_captures_capped,has_chinese_presence,n_register_entities,register_entities,jurisdiction,sample_zho_url
10tradefx.com,0,0,0,1,Evalanch Ltd,Seychelles,
4t.com,0,19,0,1,4T Limited,Seychelles,
4xc.com,0,170,0,1,4XC (Seychelles) Ltd,Seychelles,
accapital-syc.com,0,0,0,1,ACCM Intl Limited,Seychelles,
acg-markets.com,0,0,0,1,ACG MARKETS LTD,Seychelles,
admiralmarkets.com,0,1000,0,1,Admirals SC Ltd,Seychelles,
afpcapital.tech,0,0,0,1,Fullerverse (SC) Limited,Seychelles,
afterprime.com,0,0,0,1,AfterPrime Ltd,Seychelles,
alchemymarkets.com,0,418,0,1,Alchemy International Ltd,Seychelles,
alexis.capital,0,0,0,1,ALEXIS CAPITAL LIMITED,Seychelles,
alpho.com,0,275,0,1,Gulf Brokers Ltd,Seychelles,
altumbrokers.com,0,1,0,1,ALTUM Ltd,Seychelles,
alvexo.com,0,0,0,1,HSN Capital Group Ltd,Seychelles,
amega.finance,0,0,0,1,Amega Finance Ltd,Seychelles,
atcbrokers.com,14,34,1,1,ATC Brokers Limited,Seychelles,https://atcbrokers.com/cn/help-center/education/
atfx.com,200,1000,1,1,AT Global Markets (SC) Limited,Seychelles,https://www.atfx.com/zh-au/about-us/company-news/atfx-clients-windsor-castle-duke-of-edinburgh-cup
axiontrade.net,26,202,1,1,Axion Trade Limited,Seychelles,https://www.axiontrade.net/zh_CN
axonmarkets.com,0,23,0,1,Axon Markets Ltd,Seychelles,
b2prime.com,0,242,0,1,B2B Prime Services SC Ltd,Seychelles,
baazex.com,0,2,0,1,BAZ Capital Markets Ltd,Seychelles,
baxiamarkets.com,0,44,0,1,Baxia Global Ltd,Seychelles,
blackbull.com,2,154,1,1,BBG Limited,Seychelles,https://blackbull.com/zh-hans/support/how-to-download-metatrader-5-mt5-on-mobile/
bluesuisse.sc,0,6,0,1,Bluesuisse Markets Limited,Seychelles,
briskmarkets.net,0,0,0,1,Brisk Markets Ltd,Seychelles,
bullwaves.com,0,419,0,1,Equitex Capital Limited,Seychelles,
caveofx.com,0,2,0,1,CAVEO FX LIMITED,Seychelles,
cfi.trade,0,1,0,1,Credit Financier Invest International Limited,Seychelles,
clicktrades.com,0,3,0,1,KW Investments Ltd,Seychelles,
cmtrading.com,0,731,0,1,GCMT Limited,Seychelles,
connextfx.com,0,125,0,1,Connext Ltd,Seychelles,
ctzmarkets.com,0,0,0,1,Nexify Capital Limited,Seychelles,
darwinex.com,2,173,1,1,Tradeslide Global Ltd,Seychelles,https://www.darwinex.com/zh/account/D.173844
dbinvesting.com,78,1000,1,1,DB Invest Limited,Seychelles,https://dbinvesting.com/zh-hans/accounts-types/
doto.com,0,121,0,1,Doto International Ltd,Seychelles,
easymarkets.com,0,0,0,1,EF Worldwide Ltd,Seychelles,
ecmarkets.sc,55,224,1,1,EC Markets Limited,Seychelles,https://crm.ecmarkets.sc/fr/information/announcement/announcementDetail/?content=id-959-Holiday-Trading-Hours-Notification
eliprime.com,0,-1,0,1,Eliprime Finance Limited,Seychelles,
errante.com,32,1000,1,1,Errante Securities (Seychelles) Limited,Seychelles,https://errante.com/zh-hans/
eto.group,0,4,0,1,ETO MARKETS LIMITED,Seychelles,
etoro.com,9,1000,1,1,eToro (Seychelles) Limited,Seychelles,https://www.etoro.com/ar/people/betterleaf
eurotrader.com,0,260,0,1,Eurotrade RGB (Seychelles) Ltd,Seychelles,
excent.capital,0,69,0,1,Excent Capital Ltd,Seychelles,
exclusivemarkets.com,0,0,0,1,Exclusive Markets Ltd,Seychelles,
exeliumglobal.com,0,0,0,1,EXELIUM GLOBAL LTD,Seychelles,
exness.com,0,12,0,1,Exness (SC) Ltd,Seychelles,
finpros.com,0,5,0,1,FINPROS FINANCIAL LTD,Seychelles,
fivehills.com,0,0,0,1,FIVEHILLS SECURITIES LIMITED,Seychelles,
foracon.com,0,0,0,1,FORACON Markets Ltd,Seychelles,
fpmarkets.com,10,53,1,1,First Prudential Markets Limited,Seychelles,https://portal-cn.fpmarkets.com/
ftrading-sc.com,0,0,0,1,FBS Trading (Seychelles) Ltd,Seychelles,
fusionmarkets.com,8,147,1,1,Fusion Markets International Ltd,Seychelles,https://fusionmarkets.com/zh/About-us/ID-documentation
fx-edge.com,0,10,0,1,FX-EDGE SC LTD,Seychelles,
fxcentrum.com,51,882,1,1,WTG Ltd,Seychelles,https://zh-cn.fxcentrum.com/
fxgt.com,0,0,0,1,GT Global Ltd,Seychelles,
fxon.com,1,7,1,1,FXON Ltd,Seychelles,https://fxon.com/cn/upgrade.html
fxpro.com,0,32,0,1,Invemonde Trading Ltd,Seychelles,
gbebrokers.global,0,199,0,1,GBE GLOBAL LTD,Seychelles,
global.bdswiss.com,0,0,0,1,BDSwiss (Seychelles) Ltd,Seychelles,
go4rex.com,0,19,0,1,FX Capital Ltd,Seychelles,
gold-touch.io,0,0,0,1,TouchStone Markets Limited,Seychelles,
hanabimarkets.com,0,0,0,1,HANABI LIMITED,Seychelles,
hfm.com,0,28,0,1,HF Markets (Seychelles) Ltd,Seychelles,
highmarkets.com,0,0,0,1,DXA Seychelles Limited,Seychelles,
hmvest.sc,0,1,0,1,Harmovest Capital (Seychelles) Ltd,Seychelles,
icmarkets.sc,13,111,1,1,Raw Trading Ltd,Seychelles,https://www.icmarkets.sc/cn/company/legal-documents
ingotbrokers.com,0,2,0,1,INGOT SC LTD,Seychelles,
int.gomarkets.com,0,2,0,1,Go Markets International Ltd,Seychelles,
intermagnum.com,0,26,0,1,Magnum International Markets Ltd,Seychelles,
